3sl4	JN4	A	ic50=0.027uM
3sl4	JN4	B	ic50=0.027uM
3sl4	JN4	C	ic50=0.027uM
3sl4	JN4	D	ic50=0.027uM
1xoq	ROF	A	ic50=0.68nM
1xoq	ROF	B	ic50=0.68nM
1y2e	5DE	A	ic50=0.16uM
1y2e	5DE	B	ic50=0.16uM
5wqa	J20	A	ic50=0.011uM
5wqa	J20	B	ic50=0.011uM
1y2d	4DE	A	ic50=2uM
1y2d	4DE	B	ic50=2uM
6f8w	D0E	A	ic50=23uM
6f8w	D0E	B	ic50=23uM
6fdc	DD5	A	ic50=2.3uM
6fdc	D5N	B	ic50=2.3uM
6ind	AKO	B	ic50=0.24uM
6ind	AKO	A	ic50=0.24uM
6ink	AKU	B	ic50=0.27uM
6ink	AKU	A	ic50=0.27uM
6imr	AJX	A	ic50=4.3uM
6imr	AJX	B	ic50=4.3uM
1xor	ZAR	A	ic50=0.39uM
1xor	ZAR	B	ic50=0.39uM
3g4k	ROL	A	ic50=288nM
3g4k	ROL	B	ic50=288nM
3g4k	ROL	C	ic50=288nM
3g4k	ROL	D	ic50=288nM
1y2c	3DE	A	ic50=0.27uM
1y2c	3DE	B	ic50=0.27uM
2fm0	M98	A	ic50=0.4nM
2fm0	M98	B	ic50=0.4nM
2fm0	M98	C	ic50=0.4nM
2fm0	M98	D	ic50=0.4nM
6kjz	MKU	A	ic50=420nM
6kjz	MKU	B	ic50=420nM
6f8t	CZT	A	ic50=7uM
6f8t	CZT	B	ic50=7uM
1y2k	7DE	A	ic50=0.021uM
1y2k	7DE	B	ic50=0.021uM
1xom	CIO	A	ic50=0.011uM
1xom	CIO	B	ic50=0.011uM
6kk0	M36	A	ic50=17nM
6kk0	M36	B	ic50=17nM
6im6	AH3	A	ic50=20.7uM
6im6	AH3	B	ic50=20.7uM
1q9m	ROL	A	ic50=0.33uM
1q9m	ROL	B	ic50=0.33uM
1q9m	ROL	C	ic50=0.33uM
1q9m	ROL	D	ic50=0.33uM
4wcu	3KQ	C	ic50=3nM
4wcu	3KQ	D	ic50=3nM
4wcu	3KQ	B	ic50=3nM
4wcu	3KQ	A	ic50=3nM
6f8u	CZQ	B	ic50=0.8uM
6f8u	CZQ	A	ic50=0.8uM
6inm	AKU	A	ic50=0.51uM
6inm	AKU	B	ic50=0.51uM
2fm5	M99	A	ic50=43nM
2fm5	M99	B	ic50=43nM
2fm5	M99	C	ic50=43nM
2fm5	M99	D	ic50=43nM
6f6u	CV8	B	ic50=16uM
6f6u	CV8	A	ic50=16uM
6f8v	D0B	A	ic50=16uM
6f8v	D0B	B	ic50=16uM
6imo	AJL	B	ic50=0.65uM
6imo	AJL	A	ic50=0.65uM
3g4l	ROF	A	ic50=5.8nM
3g4l	ROF	B	ic50=5.8nM
3g4l	ROF	C	ic50=5.8nM
3g4l	ROF	D	ic50=5.8nM
6c7d	EOJ	D	ic50=0.17nM
6c7d	EOJ	A	ic50=0.17nM
6c7d	EOJ	C	ic50=0.17nM
6c7d	EOJ	B	ic50=0.17nM
5u7k	7Y1	B	ic50=7.1nM
5u7k	7Y1	A	ic50=7.1nM
5u7k	7Y1	D	ic50=7.1nM
5u7k	7Y1	C	ic50=7.1nM
6cyd	FKG	B	ic50=2nM
6cyd	FKG	A	ic50=2nM
5tza	7OG	D	ic50=0.001uM
5tza	7OG	C	ic50=0.001uM
5tza	7OG	B	ic50=0.001uM
5tza	7OG	A	ic50=0.001uM
6c7g	EOY	B	ic50=18.2nM
6c7g	EOY	A	ic50=18.2nM
6c7g	EOY	D	ic50=18.2nM
6c7g	EOY	C	ic50=18.2nM
5vp0	9GJ	B	ic50=0.61nM
5vp0	9GJ	A	ic50=0.61nM
5vp0	9GJ	C	ic50=0.61nM
5u00	7OV	A	ic50=0.002uM
5u00	7OV	C	ic50=0.002uM
5u00	7OV	D	ic50=0.002uM
5u00	7OV	B	ic50=0.002uM
5u7i	7XS	A	ic50=66.6nM
5u7i	7XS	C	ic50=66.6nM
5u7i	7XS	D	ic50=66.6nM
5u7i	7XS	B	ic50=66.6nM
5u7j	7XV	D	ic50=389.6nM
5u7j	7XV	C	ic50=389.6nM
5u7j	7XV	A	ic50=389.6nM
5u7j	7XV	B	ic50=389.6nM
5xkm	87R	B	ic50=24nM
5xkm	87R	F	ic50=24nM
5xkm	87R	C	ic50=24nM
5xkm	87R	E	ic50=24nM
5xkm	87R	A	ic50=24nM
5xkm	87R	D	ic50=24nM
6b98	D07	B	Ki=22.4uM
6b98	D07	A	Ki=22.4uM
6b96	CZV	A	Ki=14.3nM
6b96	CZV	B	Ki=14.3nM
5u7d	19F	A	ic50=0.5nM
5u7d	19F	B	ic50=0.5nM
5u7d	19F	C	ic50=0.5nM
6zqz	QOQ	D	ic50=24nM
6zqz	QOQ	C	ic50=24nM
6zqz	QOQ	B	ic50=24nM
6zqz	QOQ	A	ic50=24nM
5tzx	7OY	A	ic50=0.052uM
5tzx	7OY	C	ic50=0.052uM
5tzx	7OY	B	ic50=0.052uM
5tzx	7OY	D	ic50=0.052uM
6c7i	EP7	B	ic50=0.38nM
